gas_date,fuel_burn_actual_total_preverified,Forecast_ensemble,Forecast_ARIMAX,Forecast_Prophet,Forecast_LightGBM,Error,Percentage Error,,,
01-01-2014,15796.81,46427.14,55662.18,55117.25,28502,30630.33,80%,,Training,01-01-2014 to 08-07-2019
02-01-2014,30609.25,24669.22,21370.9,22270.08,30366.67,5940.03,1%,,Testing ,09-07-2019 to 07-07-2022
03-01-2014,37476.69,31514.25,29209.1,28252.76,37080.88,5962.44,1%,,Mean Absolute Error,8950.837389
04-01-2014,17318.49,29010.14,32280.16,29704.23,25046.02,11691.65,45%,,Mean Absolute Percentage Error,21%
05-01-2014,27005.17,29775.21,29959.06,30056.26,29310.29,2770.04,9%,,,
06-01-2014,53628.02,37703.12,34813.22,33416.43,44879.69,15924.9,16%,,,
07-01-2014,41718.44,37071.62,39168.37,36808.44,35238.04,4646.82,16%,,,
08-01-2014,27784.1,36884.1,41257.93,39058.76,30335.6,9100,9%,,,
09-01-2014,18767.73,33793.08,40915.64,38070.69,22392.89,15025.35,19%,,,
10-01-2014,22275.41,28686,34504.34,29042.38,22511.27,6410.59,1%,,,
11-01-2014,20108.24,23846.78,29070.41,20614.48,21855.45,3738.54,9%,,,
12-01-2014,17174.6,22557.48,26698.04,19215.61,21758.78,5382.88,27%,,,
13-01-2014,24456.49,25446.88,30973.16,23173.25,22194.22,990.39,9%,,,
14-01-2014,24995.58,26010.98,28776.83,21584.85,27671.26,1015.4,11%,,,
15-01-2014,24183.22,23604.82,27539.28,21000.81,22274.35,578.4,8%,,,
16-01-2014,16360.26,23436.99,26578.88,20638.35,23093.72,7076.73,41%,,,
17-01-2014,20936.16,22076.58,25022.36,19417.15,21790.22,1140.42,4%,,,
18-01-2014,18378.95,19119.93,23276.1,16393.9,17689.79,740.98,4%,,,
19-01-2014,17006.67,17723.47,21136.05,15940.48,16093.87,716.8,5%,,,
20-01-2014,14406.72,21863.97,26096.31,20632.53,18863.08,7457.25,31%,,,
21-01-2014,16081.14,20455.92,23650.38,17146.68,20570.7,4374.78,28%,,,
22-01-2014,14777.18,19865.27,21694.14,14832.62,23069.04,5088.09,56%,,,
23-01-2014,38143.2,19275.76,19745.22,13409.4,24672.65,18867.44,35%,,,
24-01-2014,50190.64,30860.97,24986.48,21486.44,46110,19329.67,8%,,,
25-01-2014,25107.49,27345.69,30703.64,28622.45,22710.98,2238.2,10%,,,
26-01-2014,15922.97,28886.87,30489.55,31141.34,25029.73,12963.9,57%,,,
27-01-2014,23489.97,31212.64,33434.44,32242.62,27960.85,7722.67,19%,,,
28-01-2014,42001.7,27434.83,27529.28,21728.67,33046.55,14566.87,21%,,,
29-01-2014,46157.32,32686.49,31429.32,26414.78,40215.37,13470.83,13%,,,
30-01-2014,25578.51,30976.44,35689.39,32587.32,24652.6,5397.93,4%,,,
31-01-2014,20194.78,30267.61,34102.51,32509.86,24190.46,10072.83,20%,,,
01-02-2014,23028.09,29729.1,33519.05,26767.69,28900.55,6701.01,26%,,,
02-02-2014,42974.88,26773.68,27714.45,20488.56,32118.04,16201.2,25%,,,
03-02-2014,42252.67,36943.63,37869.96,31831.21,41129.72,5309.04,3%,,,
04-02-2014,30052.6,37431.68,40536.51,35012.32,36746.2,7379.08,22%,,,
05-02-2014,48042.15,37282.35,39123.09,34064.62,38659.35,10759.8,20%,,,
06-02-2014,37433.98,36047.84,39174.84,35056.01,33912.67,1386.14,9%,,,
07-02-2014,40355.03,36116,38157.53,34063.87,36126.58,4239.03,10%,,,
08-02-2014,29256.91,34208.3,38930.97,34199.6,29494.32,4951.39,1%,,,
09-02-2014,24424.29,33792.55,35989.88,31797.4,33590.36,9368.26,38%,,,
10-02-2014,52381.37,38745.88,38801.81,34065.12,43370.71,13635.49,17%,,,
11-02-2014,52141.48,40679.74,41019.71,36717.74,44301.77,11461.74,15%,,,
12-02-2014,37313.25,41909.19,44354.97,40961.81,40410.78,4595.94,8%,,,
13-02-2014,20308.36,38291.44,43249.19,41340.23,30284.91,17983.08,49%,,,
