gas_date,MW_actual_Lewis_Creek1,MW_actual_Lewis_Creek2,MW_actual_preverified_Lewis_Creek1,MW_actual_preverified_Lewis_Creek2,fuel_burn_actual_Lewis_Creek1,fuel_burn_actual_Lewis_Creek2,fuel_burn_actual_total,fuel_burn_actual_total_preverified,hdd_actual,cdd_actual,temp_actual
2014-01-01,1299.0,0.0,1299.0,-5.0,15796.80902,0.0,15796.80902,15796.80902,,,
2014-01-02,2732.129,0.0,2907.0,-5.0,28850.49202,0.0,28850.49202,30609.25407,,,
2014-01-03,3445.157,0.0,3642.0,-4.0,35496.94442,0.0,35496.94442,37476.68947,,,
2014-01-04,1362.175,0.0,1421.0,-3.0,16723.12597,0.0,16723.12597,17318.48984,,,
2014-01-05,2547.0,0.0,2547.0,-6.0,27005.17132,0.0,27005.17132,27005.17132,,,
2014-01-06,5288.0,0.0,5288.0,-5.0,53628.02032,0.0,53628.02032,53628.02032,,,
2014-01-07,4148.0,0.0,4148.0,-6.0,41718.43786,0.0,41718.43786,41718.43786,,,
2014-01-08,2676.0,0.0,2676.0,-6.0,27784.10246,0.0,27784.10246,27784.10246,,,
2014-01-09,1518.622,0.0,1569.0,-3.0,18080.22543,0.0,18080.22543,18767.73299,,,
2014-01-10,1892.0,0.0,1892.0,-4.0,22275.4081,0.0,22275.4081,22275.4081,,,
2014-01-11,1803.083,0.0,1854.0,-4.0,19413.38117,0.0,19413.38117,20108.24445,,,
2014-01-12,1447.573,0.0,1500.0,-4.0,16482.26396,0.0,16482.26396,17174.60135,,,
2014-01-13,2126.0,0.0,2126.0,-5.0,24456.49129,0.0,24456.49129,24456.49129,,,
2014-01-14,2089.888,0.0,2147.0,-5.0,24216.175,0.0,24216.175,24995.58132,,,
2014-01-15,2396.0,0.0,2396.0,-6.0,24183.21618,0.0,24183.21618,24183.21618,,,
2014-01-16,1398.31,0.0,1449.0,-5.0,15850.44299,0.0,15850.44299,16360.25678,,,
2014-01-17,1897.0,0.0,1897.0,-6.0,20936.16282,0.0,20936.16282,20936.16282,,,
2014-01-18,1574.0,0.0,1574.0,-5.0,18378.95007,0.0,18378.95007,18378.95007,,,
2014-01-19,1378.462,0.0,1430.0,-5.0,16303.3345,0.0,16303.3345,17006.67256,,,
2014-01-20,1218.0,0.0,1218.0,-6.0,14406.72303,0.0,14406.72303,14406.72303,,,
2014-01-21,1583.0,0.0,1583.0,-6.0,16081.13825,0.0,16081.13825,16081.13825,,,
2014-01-22,1324.0,0.0,1324.0,-5.0,14777.18259,0.0,14777.18259,14777.18259,,,
2014-01-23,3688.34,0.0,3739.0,-23.0,37633.68737,0.0,37633.68737,38143.19944,,,
2014-01-24,4953.0,0.0,4953.0,-26.0,50190.63616,0.0,50190.63616,50190.63616,,,
2014-01-25,2368.0,0.0,2368.0,-48.0,25107.48511,0.0,25107.48511,25107.48511,,,
2014-01-26,1340.0,0.0,1340.0,-82.0,15922.96546,0.0,15922.96546,15922.96546,,,
2014-01-27,2330.0,-34.0,2330.0,-91.0,23489.96846,0.0,23489.96846,23489.96846,,,
2014-01-28,4194.0,-27.0,4194.0,-43.0,42181.08206,0.0,42001.70279,42001.70279,,,
2014-01-29,4581.0,0.0,4581.0,-42.0,46157.31551,0.0,46157.31551,46157.31551,,,
2014-01-30,2453.0,0.0,2453.0,-41.0,25578.50626,0.0,25578.50626,25578.50626,,,
2014-01-31,1847.0,0.0,1847.0,-93.0,20194.7801,0.0,20194.7801,20194.7801,,,
2014-02-01,2060.0,0.0,2060.0,-97.0,23028.09373,0.0,23028.09373,23028.09373,,,
2014-02-02,3996.0,-38.0,3996.0,-101.0,42974.87501,0.0,42974.87501,42974.87501,,,
2014-02-03,4098.0,-62.0,4098.0,-99.0,42870.16527,0.0,42252.67344,42252.67344,,,
2014-02-04,2985.0,0.0,2985.0,-98.0,30052.60028,0.0,30052.60028,30052.60028,,,
2014-02-05,4776.0,0.0,4776.0,-100.0,48042.14882,0.0,48042.14882,48042.14882,,,
2014-02-06,3663.0,0.0,3663.0,671.0,37433.9756,0.0,37433.9756,37433.9756,,,
2014-02-07,3939.0,0.0,3939.0,-19.0,40355.03253,0.0,40355.03253,40355.03253,,,
2014-02-08,2794.0,0.0,2794.0,47.0,29256.90855,0.0,29256.90855,29256.90855,,,
2014-02-09,2194.0,0.0,2194.0,1533.0,24424.28849,0.0,24424.28849,24424.28849,,,
2014-02-10,5193.0,0.0,5193.0,2489.0,52381.37398,0.0,52381.37398,52381.37398,,,
2014-02-11,5183.0,0.0,5183.0,1638.0,52141.47808,0.0,52141.47808,52141.47808,,,
2014-02-12,3578.0,0.0,3578.0,4708.0,37313.2466,0.0,37313.2466,37313.2466,,,
2014-02-13,1810.0,0.0,1810.0,2118.0,20308.36018,0.0,20308.36018,20308.36018,,,
2014-02-14,1689.0,0.0,1689.0,1683.0,18413.76545,0.0,18413.76545,18413.76545,,,
2014-02-15,2138.0,1001.0,2138.0,2200.0,23605.1419,10366.48355,33971.62545,33971.62545,,,
2014-02-16,974.0,1508.0,973.0,1508.0,11023.65693,16352.1129,27375.76982,27375.76982,,,
2014-02-17,0.0,1680.0,0.0,1680.0,0.0,17845.93905,17845.93905,17845.93905,,,
2014-02-18,0.0,1966.0,0.0,1966.0,0.0,20289.83834,20289.83834,20289.83834,,,
2014-02-19,0.0,2991.0,0.0,2991.0,0.0,31353.08699,31353.08699,31353.08699,,,
2014-02-20,0.0,3095.0,0.0,3095.0,0.0,32057.36209,32057.36209,32057.36209,,,
2014-02-21,0.0,2190.0,0.0,2190.0,0.0,23715.14124,23715.14124,23715.14124,,,
2014-02-22,0.0,1456.0,0.0,1456.0,0.0,16412.29526,16412.29526,16412.29526,,,
2014-02-23,0.0,1948.0,0.0,1948.0,0.0,21100.30324,21100.30324,21100.30324,,,
2014-02-24,0.0,1239.0,0.0,1239.0,0.0,13432.4425,13432.4425,13432.4425,,,
2014-02-25,828.0,2187.0,828.0,2187.0,6416.333995,24623.18362,31039.51761,31039.51761,,,
2014-02-26,3177.0,3332.0,3177.0,3332.0,33685.78865,33716.17418,67401.96283,67401.96283,,,
2014-02-27,2815.0,2982.0,2815.0,2982.0,29880.72273,30102.8068,59983.52953,59983.52953,,,
2014-02-28,1030.257,1593.0,1034.0,1593.0,10907.94143,17133.27665,28041.21808,28083.47695,,,
2014-03-01,-34.862,1527.0,0.0,1527.0,0.0,17703.63418,17703.63418,17703.63418,,,
2014-03-02,2774.528,4111.0,2808.0,4111.0,26919.75472,40345.74845,67265.50317,67265.50317,,,
2014-03-03,5314.0,5348.0,5314.0,5348.0,53445.46258,51995.23243,105440.695,105440.695,,,
2014-03-04,3853.0,4041.0,3853.0,4041.0,38793.05026,39300.5556,78093.60587,78093.60587,,,
2014-03-05,2318.0,2352.0,2318.0,2352.0,25169.68544,24278.13335,49447.81878,49447.81878,,,
2014-03-06,2746.803,3459.044,2746.803,3459.044,28673.92626,34409.48615,63083.4124,63083.4124,,,
2014-03-07,1853.0,1952.0,1853.0,1952.0,18832.93873,19070.44245,37903.38117,37903.38117,,,
2014-03-08,2481.0,2502.0,2693.0,2716.0,25638.85081,24688.28536,50327.13617,50327.13617,,,
2014-03-09,2363.0,2458.0,2363.0,2458.0,24573.25078,24372.38563,48945.63641,48945.63641,,,
2014-03-10,1707.0,2292.0,1734.0,2292.0,17274.86689,22888.65413,40163.52102,40163.52102,,,
2014-03-11,0.0,1599.0,0.0,1599.0,0.0,15988.14336,15988.14336,15988.14336,,,
2014-03-12,1492.0,2009.0,1492.0,2009.0,14566.30012,20436.75119,35003.05131,35003.05131,,,
2014-03-13,1414.0,1469.0,1414.0,1469.0,16968.64737,16044.17771,33012.82508,33012.82508,,,
2014-03-14,169.0,1320.0,169.0,1320.0,1584.919097,14992.14508,16577.06418,16577.06418,,,
2014-03-15,0.0,1758.0,0.0,1758.0,0.0,19353.26221,19353.26221,19353.26221,,,
2014-03-16,780.0,2793.0,781.0,2793.0,5701.393187,28786.41891,34487.81209,34487.81209,,,
2014-03-17,2842.0,3170.0,2842.0,3170.0,31382.9916,33019.0855,64402.0771,64402.0771,,,
