gas_date,MW_actual_Lewis_Creek1,MW_actual_Lewis_Creek2,MW_actual_preverified_Lewis_Creek1,MW_actual_preverified_Lewis_Creek2,fuel_burn_actual_Lewis_Creek1,fuel_burn_actual_Lewis_Creek2,fuel_burn_actual_total,fuel_burn_actual_total_preverified,hdd_actual,cdd_actual,temp_actual
01-01-2014,1299,0,1299,-5,15796.80902,0,15796.80902,15796.80902,,,
02-01-2014,2732.129,0,2907,-5,28850.49202,0,28850.49202,30609.25407,,,
03-01-2014,3445.157,0,3642,-4,35496.94442,0,35496.94442,37476.68947,,,
04-01-2014,1362.175,0,1421,-3,16723.12597,0,16723.12597,17318.48984,,,
05-01-2014,2547,0,2547,-6,27005.17132,0,27005.17132,27005.17132,,,
06-01-2014,5288,0,5288,-5,53628.02032,0,53628.02032,53628.02032,,,
07-01-2014,4148,0,4148,-6,41718.43786,0,41718.43786,41718.43786,,,
08-01-2014,2676,0,2676,-6,27784.10246,0,27784.10246,27784.10246,,,
09-01-2014,1518.622,0,1569,-3,18080.22543,0,18080.22543,18767.73299,,,
10-01-2014,1892,0,1892,-4,22275.4081,0,22275.4081,22275.4081,,,
11-01-2014,1803.083,0,1854,-4,19413.38117,0,19413.38117,20108.24445,,,
12-01-2014,1447.573,0,1500,-4,16482.26396,0,16482.26396,17174.60135,,,
13-01-2014,2126,0,2126,-5,24456.49129,0,24456.49129,24456.49129,,,
14-01-2014,2089.888,0,2147,-5,24216.175,0,24216.175,24995.58132,,,
15-01-2014,2396,0,2396,-6,24183.21618,0,24183.21618,24183.21618,,,
16-01-2014,1398.31,0,1449,-5,15850.44299,0,15850.44299,16360.25678,,,
17-01-2014,1897,0,1897,-6,20936.16282,0,20936.16282,20936.16282,,,
18-01-2014,1574,0,1574,-5,18378.95007,0,18378.95007,18378.95007,,,
19-01-2014,1378.462,0,1430,-5,16303.3345,0,16303.3345,17006.67256,,,
20-01-2014,1218,0,1218,-6,14406.72303,0,14406.72303,14406.72303,,,
21-01-2014,1583,0,1583,-6,16081.13825,0,16081.13825,16081.13825,,,
22-01-2014,1324,0,1324,-5,14777.18259,0,14777.18259,14777.18259,,,
23-01-2014,3688.34,0,3739,-23,37633.68737,0,37633.68737,38143.19944,,,
24-01-2014,4953,0,4953,-26,50190.63616,0,50190.63616,50190.63616,,,
