gas_date,MW_actual_Lewis_Creek1,MW_actual_Lewis_Creek2,MW_actual_preverified_Lewis_Creek1,MW_actual_preverified_Lewis_Creek2,fuel_burn_actual_Lewis_Creek1,fuel_burn_actual_Lewis_Creek2,fuel_burn_actual_total,fuel_burn_actual_total_preverified,hdd_actual,cdd_actual,temp_actual,fuel_burn_actual_total_preverified_mean_lag3,fuel_burn_actual_total_preverified_mean_lag7,fuel_burn_actual_total_preverified_mean_lag30,fuel_burn_actual_total_preverified_std_lag3,fuel_burn_actual_total_preverified_std_lag7,fuel_burn_actual_total_preverified_std_lag30,day,week,quarter,month,year,dayofweek
2014-01-01,1299.0,0.0,1299.0,-5.0,15796.80902,0.0,15796.80902,15796.80902,2.599622641509434,8.65954716981132,69.60294339622641,53601.844,53564.688,53390.266,7976.8423,10570.537,14706.541,1,1,1,1,2014,2
2014-01-02,2732.129,0.0,2907.0,-5.0,28850.49202,0.0,28850.49202,30609.25407,2.599622641509434,8.65954716981132,69.60294339622641,15796.809,15796.809,15796.809,7976.8423,10570.537,14706.541,2,1,1,1,2014,3
2014-01-03,3445.157,0.0,3642.0,-4.0,35496.94442,0.0,35496.94442,37476.68947,2.599622641509434,8.65954716981132,69.60294339622641,23203.031,23203.031,23203.031,10473.98,10473.98,10473.98,3,1,1,1,2014,4
2014-01-04,1362.175,0.0,1421.0,-3.0,16723.12597,0.0,16723.12597,17318.48984,2.599622641509434,8.65954716981132,69.60294339622641,27960.918,27960.918,27960.918,11079.917,11079.917,11079.917,4,1,1,1,2014,5
2014-01-05,2547.0,0.0,2547.0,-6.0,27005.17132,0.0,27005.17132,27005.17132,2.599622641509434,8.65954716981132,69.60294339622641,28468.145,25300.31,25300.31,10248.244,10495.636,10495.636,5,1,1,1,2014,6
2014-01-06,5288.0,0.0,5288.0,-5.0,53628.02032,0.0,53628.02032,53628.02032,2.599622641509434,8.65954716981132,69.60294339622641,27266.783,25641.283,25641.283,10081.6455,9121.408,9121.408,6,2,1,1,2014,0
2014-01-07,4148.0,0.0,4148.0,-6.0,41718.43786,0.0,41718.43786,41718.43786,2.599622641509434,8.65954716981132,69.60294339622641,32650.56,30305.738,30305.738,18801.55,14039.337,14039.337,7,2,1,1,2014,1
2014-01-08,2676.0,0.0,2676.0,-6.0,27784.10246,0.0,27784.10246,27784.10246,2.599622641509434,8.65954716981132,69.60294339622641,40783.875,31936.125,31936.125,13336.007,13522.559,13522.559,8,2,1,1,2014,2
2014-01-09,1518.622,0.0,1569.0,-3.0,18080.22543,0.0,18080.22543,18767.73299,2.599622641509434,8.65954716981132,69.60294339622641,41043.52,33648.594,31417.121,12935.171,11785.523,12605.225,9,2,1,1,2014,3
2014-01-10,1892.0,0.0,1892.0,-4.0,22275.4081,0.0,22275.4081,22275.4081,2.599622641509434,8.65954716981132,69.60294339622641,29423.424,31956.95,30011.635,11562.839,13073.906,12522.332,10,2,1,1,2014,4
2014-01-11,1803.083,0.0,1854.0,-4.0,19413.38117,0.0,19413.38117,20108.24445,2.599622641509434,8.65954716981132,69.60294339622641,22942.414,29785.338,29238.012,4545.0415,13265.341,12056.97,11,2,1,1,2014,5
2014-01-12,1447.573,0.0,1500.0,-4.0,16482.26396,0.0,16482.26396,17174.60135,2.599622641509434,8.65954716981132,69.60294339622641,20383.795,30183.873,28408.033,1769.9978,12864.212,11764.819,12,2,1,1,2014,6
2014-01-13,2126.0,0.0,2126.0,-5.0,24456.49129,0.0,24456.49129,24456.49129,2.599622641509434,8.65954716981132,69.60294339622641,19852.752,28779.506,27471.914,2559.9834,13773.519,11676.643,13,3,1,1,2014,0
